name_requested	verdict	key_or_accepted	note
Adenia spinosa	TO_COLLECT	5527612	accepted species, GBIF key
Jatropha podagrica	COLLECTED		in plants.csv, trained, exportable
Jatropha multifida	COLLECTED		in plants.csv, trained, exportable
Monadenium ritchiei	SYNONYM	SYNONYME-> [3067621]	resolve to the accepted name before collecting
Synadenium grantii	SYNONYM	SYNONYME-> [3070438]	resolve to the accepted name before collecting
Pedilanthus tithymaloides	SYNONYM	SYNONYME-> [3069168]	resolve to the accepted name before collecting
Euphorbia tirucalli rosea	COLLECTED		in plants.csv, trained, exportable
Euphorbia leuconeura	COLLECTED		in plants.csv, trained, exportable
Pilea grandolis	SYNONYM	SYNONYME-> [5361822]	resolve to the accepted name before collecting
Pilea glaucophylla	SYNONYM	SYNONYME-> [5670242]	resolve to the accepted name before collecting
Pilea nummulariifolia	COLLECTED		in plants.csv, trained, exportable
Elatostema repens	SYNONYM	SYNONYME-> [7916114]	resolve to the accepted name before collecting
Peperomia rotundifolia	COLLECTED		in plants.csv, trained, exportable
Peperomia serpens	COLLECTED		in plants.csv, trained, exportable
Peperomia maculosa	TO_COLLECT	3086368	accepted species, GBIF key
Peperomia metallica	TO_COLLECT	4184843	accepted species, GBIF key
Peperomia incana	TO_COLLECT	8049505	accepted species, GBIF key
Peperomia fraseri	TO_COLLECT	7305086	accepted species, GBIF key
Begonia conchifolia	TO_COLLECT	7303439	accepted species, GBIF key
Begonia foliosa	COLLECTED		in plants.csv, trained, exportable
Begonia nelumbiifolia	COLLECTED		in plants.csv, trained, exportable
Begonia goegoensis	TO_COLLECT	4157921	accepted species, GBIF key
Begonia serratipetala	TO_COLLECT	4157972	accepted species, GBIF key
Calathea metallica	TO_COLLECT	7722597	accepted species, GBIF key
Calathea lindeniana	TO_COLLECT	9546997	accepted species, GBIF key
Calathea louisae	SYNONYM	SYNONYME-> [9431418]	resolve to the accepted name before collecting
Calathea ecuadoriana	SYNONYM	SYNONYME-> [9296883]	resolve to the accepted name before collecting
Calathea chimboracensis	SYNONYM	SYNONYME-> [9355492]	resolve to the accepted name before collecting
Schismatoglottis calyptrata	TO_COLLECT	2867982	accepted species, GBIF key
Schismatoglottis wallichii	TO_COLLECT	2868039	accepted species, GBIF key
Homalomena rubescens	TO_COLLECT	2868726	accepted species, GBIF key
Homalomena wallisii	SYNONYM	SYNONYME-> [9255776]	resolve to the accepted name before collecting
Bucephalandra pygmaea	TO_COLLECT	9524399	accepted species, GBIF key
Cryptocoryne wendtii	TO_COLLECT	2869214	accepted species, GBIF key
Anubias barteri	TO_COLLECT	2871871	accepted species, GBIF key
Rhaphidophora tetrasperma	COLLECTED		in plants.csv, trained, exportable
Rhaphidophora decursiva	TO_COLLECT	5329707	accepted species, GBIF key
Rhaphidophora cryptantha	TO_COLLECT	5329650	accepted species, GBIF key
Rhaphidophora hayi	TO_COLLECT	5329786	accepted species, GBIF key
Amydrium medium	TO_COLLECT	2870238	accepted species, GBIF key
Amydrium zippelianum	TO_COLLECT	2870249	accepted species, GBIF key
Lasia spinosa	TO_COLLECT	5330870	accepted species, GBIF key
Cyrtosperma johnstonii	TO_COLLECT	2871907	accepted species, GBIF key
Anadendrum microstachyum	TO_COLLECT	2870564	accepted species, GBIF key
Pothos chinensis	TO_COLLECT	5330311	accepted species, GBIF key
Pothos scandens	TO_COLLECT	5330394	accepted species, GBIF key
Remusatia vivipara	TO_COLLECT	2871956	accepted species, GBIF key
Typhonium blumei	TO_COLLECT	2869495	accepted species, GBIF key
Pinanga coronata	COLLECTED		in plants.csv, trained, exportable
Chamaedorea metallica	TO_COLLECT	2734536	accepted species, GBIF key
Chamaedorea microspadix	TO_COLLECT	2734713	accepted species, GBIF key
Chamaedorea radicalis	TO_COLLECT	2734396	accepted species, GBIF key
Geonoma epetiolata	TO_COLLECT	2734364	accepted species, GBIF key
Iguanura wallichiana	TO_COLLECT	7933984	accepted species, GBIF key
Kerriodoxa elegans	TO_COLLECT	2732373	accepted species, GBIF key
Aiphanes horrida	TO_COLLECT	2738639	accepted species, GBIF key
Bismarckia nobilis	COLLECTED		in plants.csv, trained, exportable
Trachycarpus fortunei	EXPOSED		already served by the shipped model
Washingtonia robusta	EXPOSED		already served by the shipped model
Chamaerops humilis	EXPOSED		already served by the shipped model
Brahea armata	COLLECTED		in plants.csv, trained, exportable
Pachypodium saundersii	COLLECTED		in plants.csv, trained, exportable
Pachypodium geayi	TO_COLLECT	5535488	accepted species, GBIF key
Pachypodium brevicaule	TO_COLLECT	7155422	accepted species, GBIF key
Euphorbia abdelkuri	TO_COLLECT	3069740	accepted species, GBIF key
Euphorbia ambovombensis	TO_COLLECT	3065816	accepted species, GBIF key
Euphorbia francoisii	SYNONYM	SYNONYME-> [3068908]	resolve to the accepted name before collecting
Euphorbia decaryi	TO_COLLECT	3068904	accepted species, GBIF key
Euphorbia cylindrifolia	TO_COLLECT	3070377	accepted species, GBIF key
Euphorbia suzannae	TO_COLLECT	3067906	accepted species, GBIF key
